FREQ,Re(V(1)),Im(V(1)),Re(V(2)),Im(V(2)),Re(I(V1)),Im(I(V1))
-5.00000000e+05,4.27599172e-17,2.92844436e-17,-8.91502177e-20,-4.72485566e-21,-9.91235343e-20,-1.14469803e-19
-4.00000000e+05,9.50201560e-17,2.63808411e-17,-6.45862622e-20,4.56868396e-20,-2.13227310e-19,-4.74785128e-20
-3.00000000e+05,-5.67351138e-17,1.23652411e-16,-7.36918664e-20,-3.76929662e-20,6.92102019e-20,-2.37642373e-19
-2.00000000e+05,-7.60127367e-18,-2.57057559e-17,-7.35859873e-20,7.41153829e-21,8.25923298e-20,1.40455268e-20
-1.00000000e+05,-3.30724014e-17,5.00000000e-01,-7.95772700e-04,1.26651159e-06,-1.59154540e-06,-9.99997467e-04
0.00000000e+00,-8.07442627e-17,0.00000000e+00,-5.70290343e-17,0.00000000e+00,-1.82112084e-20,0.00000000e+00
1.00000000e+05,-3.30724014e-17,-5.00000000e-01,-7.95772700e-04,-1.26651159e-06,-1.59154540e-06,9.99997467e-04
2.00000000e+05,-7.60127367e-18,2.57057559e-17,-7.35859873e-20,-7.41153829e-21,8.25923298e-20,-1.40455268e-20
3.00000000e+05,-5.67351138e-17,-1.23652411e-16,-7.36918664e-20,3.76929662e-20,6.92102019e-20,2.37642373e-19
4.00000000e+05,9.50201560e-17,-2.63808411e-17,-6.45862622e-20,-4.56868396e-20,-2.13227310e-19,4.74785128e-20
5.00000000e+05,4.27599172e-17,-2.92844436e-17,-8.91502177e-20,4.72485566e-21,-9.91235343e-20,1.14469803e-19
-5.00000000e+05,4.27577997e-17,2.92846289e-17,-1.24407964e-21,1.24970447e-20,-1.95665438e-20,-2.64811275e-20
-4.00000000e+05,9.50303204e-17,2.63757589e-17,-1.95876369e-21,-4.84396967e-21,-1.18199146e-19,-3.13038231e-20
-3.00000000e+05,-5.67393490e-17,1.23655799e-16,-6.72332402e-20,1.20172799e-20,2.13305065e-20,-1.32460567e-19
-2.00000000e+05,-7.60974400e-18,-2.56989796e-17,-2.47227741e-20,-4.70632681e-20,3.76019763e-20,4.21382348e-20
-1.00000000e+05,-3.30698603e-17,5.00000000e-01,-3.97887106e-04,3.16628498e-07,-3.97887106e-07,-4.99999683e-04
0.00000000e+00,-8.07427804e-17,0.00000000e+00,-7.17741838e-17,0.00000000e+00,4.55280209e-21,0.00000000e+00
1.00000000e+05,-3.30698603e-17,-5.00000000e-01,-3.97887106e-04,-3.16628498e-07,-3.97887106e-07,4.99999683e-04
2.00000000e+05,-7.60974400e-18,2.56989796e-17,-2.47227741e-20,4.70632681e-20,3.76019763e-20,-4.21382348e-20
3.00000000e+05,-5.67393490e-17,-1.23655799e-16,-6.72332402e-20,-1.20172799e-20,2.13305065e-20,1.32460567e-19
4.00000000e+05,9.50303204e-17,-2.63757589e-17,-1.95876369e-21,4.84396967e-21,-1.18199146e-19,3.13038231e-20
5.00000000e+05,4.27577997e-17,-2.92846289e-17,-1.24407964e-21,-1.24970447e-20,-1.95665438e-20,2.64811275e-20
-5.00000000e+05,4.27582232e-17,2.92845760e-17,1.46113183e-20,3.80602343e-20,-2.18189566e-20,-2.91228322e-20
-4.00000000e+05,9.50269323e-17,2.63774530e-17,-8.85414128e-21,-1.41348623e-20,-7.53247209e-20,-2.49188160e-20
-3.00000000e+05,-5.67385020e-17,1.23654952e-16,1.05085025e-20,1.14481797e-20,4.26717663e-20,-9.06705757e-20
-2.00000000e+05,-7.60635587e-18,-2.57006737e-17,-2.68668263e-20,-1.44789694e-20,4.26494324e-21,-4.98293601e-21
-1.00000000e+05,-3.30698603e-17,5.00000000e-01,-2.65258164e-04,1.40723827e-07,-1.76838776e-07,-3.33333240e-04
0.00000000e+00,-8.07432039e-17,0.00000000e+00,-5.96311195e-17,0.00000000e+00,1.95876369e-20,0.00000000e+00
1.00000000e+05,-3.30698603e-17,-5.00000000e-01,-2.65258164e-04,-1.40723827e-07,-1.76838776e-07,3.33333240e-04
2.00000000e+05,-7.60635587e-18,2.57006737e-17,-2.68668263e-20,1.44789694e-20,4.26494324e-21,4.98293601e-21
3.00000000e+05,-5.67385020e-17,-1.23654952e-16,1.05085025e-20,-1.14481797e-20,4.26717663e-20,9.06705757e-20
4.00000000e+05,9.50269323e-17,-2.63774530e-17,-8.85414128e-21,1.41348623e-20,-7.53247209e-20,2.49188160e-20
5.00000000e+05,4.27582232e-17,-2.92845760e-17,1.46113183e-20,-3.80602343e-20,-2.18189566e-20,2.91228322e-20
