FREQ,Re(V(4)),Im(V(4)),VR(4),VI(4),INOISE,ONOISE,DNO(R1),DNI(R1)
1.00000000e+02,4.99999995e-01,-4.99513227e-05,4.99999995e-01,-4.99513227e-05,3.32178129e-15,8.30445314e-16,4.14393869e-16,1.65757549e-15
1.58489319e+02,4.99999987e-01,-7.91675101e-05,4.99999987e-01,-7.91675101e-05,3.32178129e-15,8.30445301e-16,4.14393863e-16,1.65757549e-15
2.51188643e+02,4.99999969e-01,-1.25472043e-04,4.99999969e-01,-1.25472043e-04,3.32178129e-15,8.30445270e-16,4.14393847e-16,1.65757549e-15
3.98107171e+02,4.99999921e-01,-1.98859768e-04,4.99999921e-01,-1.98859768e-04,3.32178129e-15,8.30445191e-16,4.14393808e-16,1.65757549e-15
6.30957344e+02,4.99999801e-01,-3.15171417e-04,4.99999801e-01,-3.15171417e-04,3.32178129e-15,8.30444992e-16,4.14393709e-16,1.65757549e-15
1.00000000e+03,4.99999501e-01,-4.99512733e-04,4.99999501e-01,-4.99512733e-04,3.32178129e-15,8.30444493e-16,4.14393460e-16,1.65757549e-15
1.58489319e+03,4.99998747e-01,-7.91673136e-04,4.99998747e-01,-7.91673136e-04,3.32178129e-15,8.30443240e-16,4.14392835e-16,1.65757549e-15
2.51188643e+03,4.99996851e-01,-1.25471261e-03,4.99996851e-01,-1.25471261e-03,3.32178129e-15,8.30440093e-16,4.14391264e-16,1.65757549e-15
3.98107171e+03,4.99992091e-01,-1.98856654e-03,4.99992091e-01,-1.98856654e-03,3.32178129e-15,8.30432186e-16,4.14387319e-16,1.65757549e-15
6.30957344e+03,4.99980134e-01,-3.15159020e-03,4.99980134e-01,-3.15159020e-03,3.32178129e-15,8.30412327e-16,4.14377409e-16,1.65757549e-15
1.00000000e+04,4.99950102e-01,-4.99463383e-03,4.99950102e-01,-4.99463383e-03,3.32178129e-15,8.30362448e-16,4.14352519e-16,1.65757549e-15
1.58489319e+04,4.99874682e-01,-7.91476698e-03,4.99874682e-01,-7.91476698e-03,3.32178129e-15,8.30237182e-16,4.14290011e-16,1.65757549e-15
2.51188643e+04,4.99685333e-01,-1.25393087e-02,4.99685333e-01,-1.25393087e-02,3.32178129e-15,8.29922696e-16,4.14133082e-16,1.65757549e-15
3.98107171e+04,4.99210345e-01,-1.98545738e-02,4.99210345e-01,-1.98545738e-02,3.32178129e-15,8.29133791e-16,4.13739417e-16,1.65757549e-15
6.30957344e+04,4.98021200e-01,-3.13924220e-02,4.98021200e-01,-3.13924220e-02,3.32178129e-15,8.27158753e-16,4.12753869e-16,1.65757549e-15
1.00000000e+05,4.95059044e-01,-4.94577086e-02,4.95059044e-01,-4.94577086e-02,3.32178129e-15,8.22238935e-16,4.10298870e-16,1.65757549e-15
1.58489319e+05,4.87771576e-01,-7.72313243e-02,4.87771576e-01,-7.72313243e-02,3.32178129e-15,8.10135248e-16,4.04259106e-16,1.65757549e-15
2.51188643e+05,4.70378859e-01,-1.18038800e-01,4.70378859e-01,-1.18038800e-01,3.32178129e-15,7.81247847e-16,3.89844235e-16,1.65757549e-15
3.98107171e+05,4.31711496e-01,-1.71700123e-01,4.31711496e-01,-1.71700123e-01,3.32178129e-15,7.17025585e-16,3.57797198e-16,1.65757549e-15
6.30957344e+05,3.57824665e-01,-2.25552303e-01,3.57824665e-01,-2.25552303e-01,3.32178129e-15,5.94307639e-16,2.96560698e-16,1.65757549e-15
1.00000000e+06,2.50243503e-01,-2.49999881e-01,2.50243503e-01,-2.49999881e-01,3.32178129e-15,4.15627092e-16,2.07398749e-16,1.65757549e-15
1.58489319e+06,1.42572081e-01,-2.25741538e-01,1.42572081e-01,-2.25741538e-01,3.32178129e-15,2.36796635e-16,1.18161993e-16,1.65757549e-15
2.51188643e+06,6.85185473e-02,-1.71943253e-01,6.85185473e-02,-1.71943253e-01,3.32178129e-15,1.13801814e-16,5.67873325e-17,1.65757549e-15
3.98107171e+06,2.97298957e-02,-1.18241622e-01,2.97298957e-02,-1.18241622e-01,3.32178129e-15,4.93781056e-17,2.46397733e-17,1.65757549e-15
6.30957344e+06,1.22749871e-02,-7.73745322e-02,1.22749871e-02,-7.73745322e-02,3.32178129e-15,2.03874112e-17,1.01733589e-17,1.65757549e-15
1.00000000e+07,4.96005236e-03,-4.95522357e-02,4.96005236e-03,-4.95522357e-02,3.32178129e-15,8.23810455e-18,4.11083062e-18,1.65757549e-15
1.58489319e+07,1.98649344e-03,-3.14531487e-02,1.98649344e-03,-3.14531487e-02,3.32178129e-15,3.29934838e-18,1.64638143e-18,1.65757549e-15
2.51188643e+07,7.92732956e-04,-1.98931660e-02,7.92732956e-04,-1.98931660e-02,3.32178129e-15,1.31664275e-18,6.57007361e-19,1.65757549e-15
3.98107171e+07,3.15894126e-04,-1.25637285e-02,3.15894126e-04,-1.25637285e-02,3.32178129e-15,5.24665598e-19,2.61809181e-19,1.65757549e-15
6.30957344e+07,1.25807557e-04,-7.93019238e-03,1.25807557e-04,-7.93019238e-03,3.32178129e-15,2.08952595e-19,1.04267762e-19,1.65757549e-15
1.00000000e+08,5.00924770e-05,-5.00437101e-03,5.00924770e-05,-5.00437101e-03,3.32178129e-15,8.31981263e-20,4.15160311e-20,1.65757549e-15
